title,body,rating
" A protagonist who doesn't drive the plot
","Let's get the positives out of the way first. The musical score is pretty good, although not up to the normal DC standards for music. There are a couple of cool action moments. Half of the comedic attempts made me laugh. And I loved the intro artwork/music, it got me excited.<br><br>The bad... sigh. Blue Beetle is fairly boring and had difficulty getting me invested. The majority feels generic with nearly everything having been seen in other superhero movies. The one it seemed to copy the most is Shang-Chi. Numerous aspects are nearly identical. Like the zany sister who never stops talking and gets him into trouble. It's the same character that Awkwafina plays. They even steal jokes from it. I knew the joke was coming because I had already seen it in Shang-Chi.<br><br>But the biggest problem with this movie is that the protagonist doesn't drive the plot. Things happen TO him, not BECAUSE of him. And he is saved by something or someone an absurd number of times. It becomes laughable and makes it difficult to root for him.<br><br>To make it worse, we have the stock-est of all stock villains. She's played by veteran actress Susan Sarandon. Not only was this a terrible casting choice, she gives an atrocious performance. Her line delivery is cringe. It doesn't help that the dialogue is terrible.<br><br>I mentioned that half the comedic attempts made me laugh. The other half are awful. They were either cheesy or fully predictable. I knew exactly what would happen or what the punch line would be.<br><br>This movie is also extremely dumb. It's mostly small stuff that can be ignored if it happens once or twice. But it happens 100 times, no exaggeration. I'll give an example. The enemy starts shooting at his friends. Rather than stopping the enemy who is right next to him, he turns around and runs towards his friends. Why? To yell, ""you guys need to get out of here."" It's just bad writing.<br><br>I have no allegiance to DC or Marvel, but I truly feel sad for the die-hard DC fans. They continue to receive bad movies and have to watch as the once endless potential of the Snyderverse is thrown away.<br><br>(1 viewing, opening Thursday IMAX 8/17/2023)",3
" CHILDISH NONSENSE
","What a load of childish nonsense, i had to turn this off after the first 30 minutes, the family constantly screaming and singing like they were ultra stupid or just very very immature, it got to the point of being nausiating.<br><br>The special effects were good but apart from that i really dont know what else to say about this movie it was very unimaginitive. Mabay aimed at five year olds at best. Its getting harder and harder and harder to find a movie that isnt full of all the same immature and stupid stuff.<br><br>Im noticing that all the superhero ones are the movies that are being ruined the most...",1
" Am I getting old? Or is the writing and dialogue becoming unbearable?
","I would honestly rate the movie lower but the sort of beautiful landscape of the movie was rather enjoyable to look at. I am not entirely sure why I was reading a news article before this movie came out where they said ""this movie is a win for Hispanic people"" thought I'm living in Romania, most of my friends live in Spain and not a single one of them felt like this movie was a win of any sorts. Anyways, the plot of the movie is bland and overdone, maybe if it came out in 2015 it might have been rather enjoyable since they hype was there, although I highly doubt it since the dialogue literally made me gag throughout the entire movie.<br><br>I can't say I'm disappointed in this movies flop, but I'm not surprised either. Main stream media and entertainment has been nose diving in recent years, so I guess this movie decided to join the kamikaze.",3
" Awful dialog full of bad exposition and a paper thin plot
","The dialog in the very first scene was so bad that I couldn't help but laugh out loud. I hoped it would get better, but it didn't. Every line Susan Sarandon's character says is some of the worst written dialog, and not even her acting chops could salvage it. But it's not just her character, the entire movie is full of terrible exposition presented in what seems like the laziest manner possible.<br><br>The plot is paper thin, too. The only thing the main character wants is money to save his parent's home. Everything that happens to him is caused by happenstance, serendipity, or a ridiculously hard to believe contrivance. I was given no reason to root for any of these characters.<br><br>I did like how they tried to develop the family dynamic, and I was hoping I could rally around that, but even that was clunky, at best. I had the urge to walk out from the very opening scene, but I forced myself to stay for nearly an hour. Eventually, the urge became too strong and I could no longer overcome it, and left the theater about halfway through.<br><br>I'll give this a 3/10 because the actors were trying their best with what they were given, and it really showed in their performances. I especially enjoyed George Lopez's performance, but it wasn't enough to save this film. I also thought the CGI was pretty good (except for the shot looking up inside the Kord building, that shot looked rough).",3
" What Could Have Been.
","Blue Beetle isn't one of the well known DC characters. My only experience with him was from the Young Justice cartoons, which was positive. Blue Beetle is another DC superhero movie failure. A Latino superhero movie that was predictable, had uninspiring characters, a weak, boring villain, and a movie that played too much on Latino stereotypes. This could have been an inspiring Latino superhero movie that many could have related to and enjoyed instead it became a jumbled, boring, amateurish mess. No, even Nana couldn't save this mess of movie. The sad part is that the 2 leads seem to have amazing chemistry together based on their rounds of promotions. But have none in the actual movie. And based on the quality of the movie, it should have been direct to Max not worthy of a theatrical release. How many poorly made DC/WB movies can be made? All I can say is a wise man once said, ""That the definition of insanity is doing the same thing over and over again expecting a different result."" Can James Gunn save the DC universe? Stay tuned!",3
" More mediocore, cliche, trying too hard, MCU-mimicking nonesense
","ORIGIN: I am writing this as I watch the movie. So far the first 40 minutes are basically the combination of Spiderman(Iron Spider cant control suit), Ironman(the suit mimics Ironman in looks, function and design) and Venom(alien symbiote attempting to work with human host) origin stories. There is nothing new, fresh or interesting here. It has all been done before, only better.<br><br>FOCUS: I like the family focus here. However, George Lopez is exhausting and cringe throughout. Kind of like Thor Love and Thunder dragging out the screaming goats joke; that is George Lopez in this movie. Very forced. Otherwise, the family focus works.<br><br>DESIGN: The Blue Beetle suit and design is probably the highlight and coolest part of the movie. Though, its nothing too different than what we have seen Ironman, Spiderman or Venom do.<br><br>VILLAIN/PLOT: Extremely weak, predictable, cliché and underwhelming. We all knew exactly where everything was going.<br><br>XOLO MARIDUENA: I was really rooting for him. And he wasn't bad. But his acting skills don't always work. Maybe give him some more time to develop before handing him such a large role?<br><br>TONE: Like the trend of recent superhero movies. The tone is Chaos. Think more chaos=better movie. Only when done correctly.<br><br>VISUALS: Better than The Flash but that's not saying much.<br><br>Overall, this is just more of the same. Look at Shazam 2, Thor Love and Thunder, Flash, Antman 3. The trend of new superhero movies are trying too hard, cringe, not doing anything fresh and overall very average movies.<br><br>As a side note. DC is dying, sadly. What is this, 7 flops in a row? Call me crazy but I don't think fans are too thrilled about the announced reboot. OR they'd be showing up to the box office? $24m opening weekend? Yikes.<br><br>Its a shame. Blue Beetle has a ton of potential! Wish he could have been a stronger part of the Justice League down the road.",3
" Massive dissapointment. Avoid it.
","It was so bad I couldn't stand to finish watching it and left the theatre. It's boring, and the jokes are plain awful - playing them over and over like the one for Maria la del barrio, or scatological jokes. I can't even fathom how the Mexican actors in there are okay with the simplistic, absurd, and ridiculous portrait of a family of immigrants depicted in this film. Xolo Maridueña's range of acting is clearly short. Are there really no better Mexican-descent actors in Hollywood? Disappointing. Having Susan Sarandon is not enough to save this disgrace of a film - her character is hollow and exaggerated. It's no surprise why DC's films performances are so low (in both the ticket office and quality) compared to those of Marvel. The love interest is predictable and forced. What a way to waste money and time this film is. I truly advise you not to watch it. It's not fun, like, at all. I had no expectations and either way, I was utterly disappointed.",1
" Boring, predictable and uninspiring
",I'm a big fan of superhero movies and especially DC. I really loved the style of Man of steel. I love that DC takes the time to make action and movies more intense in their fight sequences and also does a great job at setting up characters and making you care about them.<br><br>Well this movie literally just had me bored and I don't know what else to say. The only good part was the family dynamic in the movie which was nice to see but I really found myself caring very little about the characters and the villain is extremely average and uninspired.<br><br>The fight scenes I just very bland and it seems like there's a lot that happens but they were just boring and very average even though they try not to be. This movie really made me contemplate why I even watch movies anymore and how predictable cinema has become instead of being something that should ignite the senses and the imagination and this was the complete opposite of that and has made me not go and watch random superhero movies anymore.<br><br>I've never given any marble or DC movie of 4 out of 10 and this is the first because it just felt like a waste of my time and at no point was I excited and in fact I actually walked out in the middle of a fight scene with 25 minutes left to go in the movie.,4
" A new low for superhero movies and my 2nd walkout of all time
","*SPOILERS*
I generally don't walk out when I've paid to watch a movie the only other time was for miami vice but blue beetle was offensively bad I don't know what the director was thinking but the acting all round in this movie wasn't even fit for porn, the attempted jokes make your cringe so hard I think I actually had my eyes closed at one point, later when the blue beetles heavily overweight elderly grandmother started arming herself up for a fight with some space minigun I decided life was too short, don't see this movie not even for free.<br><br>The one positive I took away from what I saw was the suit looked cool.",2
" 127min film that's 90min too long
","When I watch a film I don't expect it to be historically accurate, scientifically correct or politically acceptable however I do except it to be enjoyable! This film is 127min long which is 90min too long. Bad acting all round poor, poor story line and mediocre graphics. This a film that reminds me of the 90's children science fiction like power rangers. What especially got on my nerves is the constant shouting and screaming by the actors/characters and the ridiculous jokes that are as funny as watching paint dry.<br><br>WB clearly hedging their bets and trying to squeeze everything in to one film just in case there's no sequels. I HOPE THERE IS NO SEQUEL.",4
" Only for the least demanding audiences
","For a movie being heralded as one of the least-white superhero films, Blue Beetle is white in one respect: it's as bland as plain white bread.<br><br>Starting with a couple positive remarks, newcomer director Ángel Manuel Soto has a keen eye for action. There's a rough-and-tumble quality to his camerawork that makes the fast action intermittently fun. The performances are also quite fine, with George Lopez being the primary standout and the one bright spot of personality in the film.<br><br>That's about all in terms of positives. This script has the intelligence of an actual beetle, the tact of a jackhammer, and the consistency of a pandering politician.<br><br>Characters? Bland. Jaime, our protagonist, complains and is cowardly until the film's last 20 minutes when a character arc is rushed upon him with no skill or feeling.<br><br>Plot? Perhaps the most predictable I've ever seen in the genre. Every single moment of the movie plays out exactly as you think it would. I predicted the end of literally every single scene. Not an ounce of creativity is present in this piece of writing.<br><br>Dialogue? Inane. It's always contrived, corny, and shows blatant disregard for its audience's reasoning capabilities.<br><br>In short, it's a sometimes flashy piece of total redundancy that's a complete bore from start to drawn-out finish.",4
" Don't bother
","Why can't DC have decent hero. The acting was terrible, storyline shocking and double standards typical.<br><br>In some instances, the actors sounded like they were in a pantomine, the dialog was so bass.<br><br>Oh no! I can't kill you, even if it saves the lives of everyone I love.... It is fine for the uncle to stomp and kill dozens of bad guys, but the beetle just punches people.<br><br>Typical problem for both good and bad guys (especially one who is trained)... never leave the enemy at your back. So frustrating and ruins so many movies because EVERYONE knows what happens down the track.<br><br>Please do not waste your valuable time.",1
" A True Masterpiece...if It Had Come Out 20 Years Earlier
","""Blue Beetle"" is simply B or even C grade super hero movie with some charm along the way. I don't think it will be realistic to expect something else to be honest. The trailers showed that pretty well in my opinion.<br><br>The tone of the movie is close to that of ""Shazam!"", given the fact that the family got bigger role in it again, that said the story is not all that good. Not that ""Shazam!"" got some epic story, but I think it was one idea better.<br><br>The cast is fine, maybe the best part of the movie is the family dynamic, except when they lean too much to the melodrama side. Xolo Maridueña as Jaime/Blue Beetle and George Lopez are the standouts no doubt.<br><br>The villain is everything you ca expect from B grade super hero movie, from the introduction, through his motivation, the fights and the conclusion is nothing particularly memorable.<br><br>I must say the suit looks great when is practical and not CGI all over the place. There are some cool fight scenes with our protagonist, most of which are shown in the trailers, which is kinda of a shame.<br><br>There are plenty of jokes in the movie, but for me, most of them doesn't land. I mean they are too childish. I guess the younger auditory will laugh out hard, but me and my cinema crowd were silent most of the time. Of course there were funny moments, but don't expect ""Deadpool"" level laughs if you are a bit older.<br><br>The movie is not bad, but it's kinda cringe, predictable and given the fact that the audience know this genre already, they expect something more clever, which sadly to report ""Blue Beetle"" is not.<br><br>There are already enough talks about the future of this character, is it part of the DCEU or DCU, will there be a sequel, or the character will transfer in the newly formed universe? If you ask me, there will not be a second movie, because this one will bomb hard, also, I'm not sure how you can do clean slate without the bagage of the previous universe, when you always lean to what was, not what it can be. In other words there is always a chance to see Blue Beetle again, but who will portray it and will the origin story be 1:1 identical is something I'm not sure about and I don't hold my breath for it.<br><br>In conclusion the movie is ""okay"", got its moments, but there is nothing really memorable, also there are two credit scenes, which are fine I guess.",6
" The weakest DC film in decades.
","If James Gunn thinks this is a good film, then I think DC needs to go back to being an animation only studio.<br><br>All of the worst Marvel tropes are ripped out and sewn together in this wonderfully cast wreck of a film.<br><br>If DC plans on making this the standard formula for their various 'bring to live action' properties, then they should just hire a guy to come out during each scene change to tell the audience ""Ok, this person you need to hate for the movie to work. Now feel sad. Now you should feel a romance between the only two characters. Now you should be rooting for the reluctant heroes who suddenly used alien technology like experts and just killed all of the $25 an hour hired security guards."" etc.<br><br>There's a reason no one goes to see DC films anymore... and it's because we are tired of seeing Marvel do it better.<br><br>Do yourself a favor, and go watch Ahsoka instead.",3
" Activate bug fart.
","For what it's worth, this is not an origin story yet is designed to be one, atleast for the main lead. After graduation, Jaime Reyes returns back to his family who are near bankrupt and on the verge to lose their home. Desperate to save the house, he looks for a job and lands at Kord Tower, after an invitation from Jenny Kord. Meanwhile, Kord Industries CEO Victoria Kord, is a greedy woman who wants to control an alien species Scarab for it's technological power, to create a deadly weapon. Jenny's attempt to steal this Scarab leads to Jaime getting hold of it and eventually becoming the host. What follows is, Jaime realizing his purpose and acknowledging his connection with Scarab.<br><br>Blue Beetle clearly has arrived a decade late, which is also what works in it's favour. There is no pressure of building in/adding on to the DC universe. All it aims for, is to be a simple silly fun entertainer, going over the top at every opportunity and yet succeed in entertaining. This is simply not the kind of film one should take seriously. The humor is hit and miss, thankfully the emotions work well. The Latino superhero does leave a lasting impression. There is not much about the Scarabs so the film directly focuses on Reyes becoming the new Blue Beetle while casually dropping the fact that there were others before.<br><br>Susan Sarandon's Victoria isn't evil enough whereas her own weapon Carapax isn't menacing enough and are barely serviceable. What does work is the goofiness of the Reyes family and right dose of father-son dynamic, because what's a DC superhero without that? The action set pieces are generic and like I said, the film still delivers on providing basic harmless entertainment. The post credit scene does set it up for a standalone sequel without burdening itself from being part of DCU's planned future.",6
" An uninspired mix of other superhero movies
","Blue Beetle doesn't suffer from the ponderousness that weighs down so many other DC movies. It's lighter, more fun, and delivers the jokes, bright colors and nods to the ridiculousness that you want from a superhero movie, a slight improvement than recent DC movies.<br><br>The movie has a big heart, ambitious references, and moments that make it an entertaining watch, but it can curdle thanks to the constraints of the superhero genre. The cultural specificity is also an asset but feels rushed in a format that, unlike the pacing of a series, creates a greater imperative to get to the next battle. Though it may have some novel elements, the franchise already feels tired, and isn't much more promising than recent DC efforts ""Black Adam"" and ""The Flash.<br><br>My Rating: 5/10.",5
" Garbage at it's finest.
","Someone said ""this is what you get when you don't use ChatAI premium""<br><br>Let me say it again, like I've said it before about American production in trying to accommodate ""old discrimination"" into new age cinematography.<br><br>Look if you're going to cast a different race, like an African, please go to Africa &amp; find Africans to do it.<br><br>Don't use black Americans who don't have a clue about being African, or American Mexicans to portray stereotype mexican.<br><br>At least with gay people you're nailing it coz now most productions use actual lgbtq+ people.<br><br>I don't know how the script was chosen in the 1st place coz I swear to zeus, this script was bananas.<br><br>The people in this piece of garbage had no emotional logic, someone could be dying of severe burns &amp; everyone will be doing a goofy dance like a bunch of teletubbies.<br><br>Child goes missing, no one is affected, things break, no one cares, there is zero sense of public worry, no public safety response.<br><br>It's like the Spanish society, is on another frequency of understanding &amp; their counterpart Americans are NPc's adding life to the Spanish world.<br><br>This family has genius typical mexican family affected by unfair migrant crisis in their own Spanish utopia, guess the writer forgot its not America
Writer decided to have an American villain as a woman of power, who exposed her power &amp; didn't realise it made her vulnerable, you even wonder what's the point of this movie honestly.<br><br>Couldn't help feeling like I was watching remakes of iron man, spiderman 3, venom &amp; of coz antman.<br><br>I swear a million bucks this script was generated from a free chatAI app with ads.",1
" A waste of time
","There's no other way to put this but this movie has no business being in the cinema. An absolute waste of 2hrs with a storyline that would make B-rated movies look top tier. The dialogues appear forced and cliche. I can see why it went through development hell for years and I believe it should've remained so.<br><br>The script felt like it was made for Nickelodeon but somehow managed to find its way to Warner Bros and don't get me started on the action scenes.<br><br>What a joke.<br><br>In all, Blue Beetle was set to flop from the beginning - From the cast to the scriptwriting to the obvious CGI, it stood no chance.<br><br>I'd not recommend this unless you've got time to burn.",1
" I'm tired of superheroes, but this is a big surprise
","One of the biggest surprises of the year. It's also one of the funniest superhero movies ever with a very distinctive identity.<br><br>There are some typical exposition dumps for the genre, and the emotional moments don't always hit the mark with a familiar structure, but it's a film with a huge heart, incredibly good humor, and excellent characters. All the ""good side"" characters are very well crafted and distinct, each of them having moments to shine.<br><br>In technical terms, it has some surprises and tricks up its sleeve, with good editing, well-choreographed and entertaining fast-paced action, and a strong score and soundtrack. What's even better is the way it incorporates Latin culture to show us the true sense of community and family, elevating the film's message and contributing to most of the arcs.<br><br>All the performances are outstanding. Madridueña has what it takes to be the star of this film and all of them deserve praises, but the best is the crazy uncle portrayed by George Lopez. Good movie even if you are tired of superhero movies.",8
" Slower than death!
","It is like those ""artistic"" movies that are that slow, you fall asleep, but without being artistic. Like stinky cheese without the cheese.<br><br>Character building is so bad that it passes through all phases. They're funny, serious, genius, dumb,... all together!<br><br>Plot holes? Numerus. No, not numerus, too many to count!<br><br>Logic holes are expected in a ""super hero"" movie. I am not talking about logic holes but about plot holes. Can't explain more without making a spoiler.<br><br>Special effects? Perfect.<br><br>Acting? No problem.<br><br>Direction? ...Oh boy! There are so many directing mistakes that even a student woudln't make.<br><br>Just stay away.",1
" Power Rangers on the CW network
","Blue Beetle is featured well in one of the Batman cartoons i think in the Brave and the Bold. In that he is a fun teenager trying to figure out his powers and how to help Bats. If you want to see a good representation of Blue Beetle i recommend finding this animated series. This movie kind of felt like Power Rangers on the CW network, albeit with a much higher budget. There was nothing to care about here. I think DC was stretching to find more characters to bring to big screen. He is a supporting character at best. It is a good comparison to Shazam 2 with all the focus on secondary characters. Both are a waste of money and a little on time. If you have nothing else to watch its ok.",2
" BatMan the Fascist.
",Yup that's how I knew the cringe movie was going to be as bad as it looked. This movie is just filled with cringe cliche stuff that they believe the Latino family is into. Blue Beatle needs his family to fight all his battles for him that's not surprising when you one these New Gen kids can't do anything without mommy and daddy holding thier hands and that's what this is all about. I was hoping this movie would do good too! Nope they had to ruin it with bad stereotypes. I guess that's fine stereotype it up man but BatMan is the Fascist.. I was wondering if they would take that out of the film cause they removed it from the trailers but nope they kept it in. They want to try a kill one of DCs best characters ever for a side character.. Go watch it if you love cringe cliches then this is the film for you.,1
" Too much is too much
","Doesn't mean the director is Mexican she is needed for the job. The director has just made 1 movie and that's it! What is DC thinking???<br><br>All about the family but really unnecessary! Aiding him to battle is a no no! Especially that grandma oh my goodness! Plus having Ted's daughter introduced when she is non-existent in the comics is a bad move too. They should rather have Ted instead to mentor Jaime. And maybe, just maybe we get to see a Blue &amp; Gold movie which will suck coz Gunn is running the show.<br><br>Khaji-da is not a female TF! Also, that scarab at his back is waaaaay to BIG! Don't get me started on OMAC! Isn't he a hero? And got his powers from Brother Eye made by Bruce Wayne? And he's a cyborg too not a human transforming into a war machine!<br><br>It was an ok movie. It does not deserve a higher ranking above 6. Maybe a flat 6. Or 5!",3
" Another appointed loser!
","There seems to be alot of these such movies lately where something incredible is chosen for someone to be great and the so called chosen recipient of the gift or blessing is so non deserving with highly irritating low self esteem that one starts to cheer for the bad guys instead to end the audiences' suffering. What happened to real super heroes like John Wick or Jack Ryan where they wear their battle amour with responsible conviction and honourable mission to do good without a second thought. This show comes off the lot to fill the ethnic diversity quota in Hollywood of recent push. Yes, by all means, but for goodness sake, arm such protagonist with more oomph and self pride and courage. All needs a dash of Bruce Lee to make this porridge perfect for all future Goldilocks.",5
